TermékNév	Ár	TFT Méret	TFT Típus	TFT Felb.	CPU Típus	CPU Frek.	CPU FSB	RAM	RAM Slot	RAM Max	HDD Méret	HDD Seb.	GPU	GPU Mem	Súly	Gar.	Akku Típus	Akku Telj.	Akku Cella	ODD	OS	OS +	Gyártó	Chipset	LAN	Portok	Audio	CR	Bill.	Szín	Méret	Egyéb	Egyéb +
Toshiba HD LED Portégé R700-177 notebook, fekete	188897 Ft	13,3"	LED, WXGA	1366x768 pixel	Intel® Core™ i3 370M	2,4 GHz	2.5 GT/s		2 db	8GB	320 GB	7200 RPM	Intel GMA HD	512MB	1,4 kg	3 év	Li-ion	4400mAh	6	DVD/CD-RW kombo, SuperMulti	Windows 7 Home Premium	Windows 7, Windows Vista	Toshiba	Intel HM55	Bluetooth, Gigabit LAN, WLAN	2xUSB, eSATA, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	4in1	magyar		316 x 227 x 16,8(elöl) - 25,7(hátul) mm	hálózati adapter	beépített mikrofon, beépített sztereó hangszórók, beépített webkamera	
Packard Bell EASYNOTE TS-F4211-HR-459HG notebook	91260 Ft	15,6"	LED	1366x768 pixel	Intel Pentium B960	2,2 GHz	1066 MHz	4GB DDR3 1333MHz	1 db	8GB	500GB	5400 RPM	nVidia GeForce GT610M	1GB	2,4 kg	2 év	Li-ion	4400mAh	6	DVD-RW	Linux	Windows 7	Packard Bell	Mobile Intel® HM65 Express	10/100 LAN, WiFi	3xUSB 2.0, D-SUB, HDMI, LAN	fülhallgató kimenet, mikrofon bemenet	5in1	magyar	Fekete	34x381x253mm	hálózati adapter	beépített hangszóró, beépített webkamera	
Asus U32VM-RO006X notebook + Windows 7 operációs rendszer + táska, egér	207007 Ft	13,3"	LED	1366x768 pixel	Intel® Core™ i5 3210M	2,5 GHz	5 GT/s	4GB DDR3 1600MHz	2 db	8GB	750 GB	5400 RPM	Intel HD Graphics 4000	megosztott	1,9 kg	2 év	Li-ion	4400mAh	8	nincs	Windows 7 Professional 64 bit	Windows 7	Asus	Mobile Intel® HM76 Express	Bluetooth, Gigabit LAN, WiFi	1xUSB 2.0, 1xUSB 3.0, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	3in1	magyar	Ezüst	328 x 238 x 13,4-26,1 mm	egér, hálózati adapter, hordtáska	beépített webkamera	
Fujitsu LIFEBOOK S761 notebook + Windows 7 operációs rendszer	432283 Ft	13,3"	Antiglare, LED	1366x768 pixel	Intel Core i7-2640M	2,7 GHz	5 GT/s	4GB DDR3 1066MHz	1 db	-	128 GB SSD	4500 RPM	Intel HD Graphics	-	1,9 kg	3 év	gyári adat	-	6	DVD SuperMulti	Windows 7 Home Premium 64bit	Windows 7	Fujitsu	-	10/100/1000 LAN	1xUSB 2.0, DisplayPort, eSATA, HDMI, LAN, mikrofon bemenet	fülhallgató kimenet, mikrofon bemenet	SD	magyar	Fekete		leírás	beépített webkamera	
Samsung NP700Z5A-S02HU notebook + Windows 7 operációs rendszer	263700 Ft	15,6"	WXGA	1600x900 pixel	Intel® Core™ i5 2450M	2,5 GHz	5 GT/s	4+2GB DDR3 1333MHz	2 db	6GB	1 TB	5400 RPM	ATI Radeon HD6750	1GB	2,3 kg	2 év	Li-ion 80W	-	8	SuperMulti	Windows 7 Home Premium	Windows 7	Samsung	Intel HM65	10/100/1000 LAN, Bluetooth, WiFi	1xUSB 2.0, 2xUSB 3.0, D-SUB, HDMI	fülhallgató kimenet, mikrofon bemenet	4in1	magyar	Fekete	362,1 x 238,5 x 23,9mm	akkumulátor, leírás	beépített hangszóró, beépített mikrofon, beépített webkamera	
Asus G55VW-S1142V notebook + Windows 7 operációs rendszer + táska, egér	292834 Ft	15,6"	LED	1920x1080 pixel	Intel® Core™ i5 3210M	2,5 GHz	5 GT/s	8GB DDR3 1600MHz	4 db	8GB	750 GB	5400 RPM	nVidia GeForce GTX 660M	2GB	3,8 kg	3 év	Li-ion	5200mAh	8	SuperMulti	Windows 7 Home Premium 64bit	Windows 7	Asus	Mobile Intel® HM77 Express	Bluetooth, Gigabit LAN, WLAN	4xUSB, audio, D-SUB, HDMI, LAN, Mini DisplayPort, SPDIF	fülhallgató kimenet, mikrofon bemenet, SPDIF	3in1	magyar	Fekete	384 x 299 x 20-51 mm	Billentyűzet, egér, hordtáska	Beépített sztereó hangszórók és mélynyomó, beépített webkamera, Kensington zár	
Asus UX31A-R5006V notebook + Windows 7 operációs rendszer	255826 Ft	13,3"	LED	1600x900 pixel	Intel® Core™ i5 3317U	1,7 GHz	5 GT/s	4GB DDR3 1600MHz	1 db	4 GB, gyári adat	128 GB SSD	SSD	Intel HD Graphics 4000	megosztott	1,3 kg	2 év	Li-ion	6840mAh	4	nincs	Windows 7 Home Premium 64bit	Windows 7	Asus	Mobile Intel® HM76 Express	WiFi	1xUSB 2.0, 1xUSB 3.0, LAN, micro HDMI, mikrofon bemenet, mini D-SUB	fülhallgató kimenet	2in1	magyar	Ezüst	325 x 223 x 3-18 mm	hálózati adapter, táska	beépített webkamera, billentyűzet segédfény	
Toshiba Satellite P875-10R notebook + Windows 7 operációs rendszer	228267 Ft	17,3"	LED	1600x900 pixel	Intel® Core™ i5 3210M	2,5 GHz	5 GT/s	8GB DDR3 1600MHz	2 db	32 GB	1 TB	5400 RPM	nVidia GeForce GT630M	2GB	3,0 kg	2 év	Li-ion	max. 4,5 óra	6	Blu-ray Disc Combo	Windows 7 Home Premium 64bit	Windows 7	Toshiba	-	Bluetooth, Gigabit LAN, WiFi	4xUSB, D-SUB, HDMI, LAN	fülhallgató kimenet, mikrofon bemenet	van	magyar	Ezüst	417,6 x 272,5 x 28,0 (elöl) / 33,7 (hátul) mm	hálózati adapter	beépített webkamera	
Asus UL30JT-RO091X notebook	169212 Ft	13,3"	WXGA	1366x768 pixel	Intel® Core™ i3 330UM	1,2 GHz	2.5 GT/s	3GB DDR3 1066MHz	2 db	4 GB	320 GB	5400 RPM	nVidia GeForce G310M	1GB	1,7 kg	2 év	Li-ion	5600mAh	8	nincs	Windows 7 Professional	Windows 7, Windows Vista	Asus	Intel HM55	10/100 LAN, Bluetooth, WLAN	3xUSB, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	4in1	magyar	Fekete	32.2 x 23.2 x 1.48~2.46 cm	hálózati adapter	beépített webkamera	
Lenovo Ideapad U310 59-349003 notebook + Windows 7 operációs rendszer	212519 Ft	13,3"	LED	1366x768 pixel	Intel® Core™ i7-3517U	1,9 GHz	5 GT/s	4GB DDR3 1333MHz	1 db	8GB	20 GB SSD, 500GB	5400 RPM	Intel HD Graphics 4000	megosztott	1,7 kg	2 év	Li-ion	max. 6,5 óra	3	nincs	Windows 7 Home Premium 64bit	Windows 7	Lenovo	Mobile Intel® HM77 Express	10/100 LAN, WiFi	1xUSB 2.0, 2xUSB 3.0, fülhallgató kimenet, HDMI, LAN, mikrofon bemenet	fülhallgató kimenet, mikrofon bemenet	2in1	magyar	Szürke	333 x 225 x 18 mm	hálózati adapter	beépített hangszóró, beépített webkamera	
Lenovo Ideapad Y580 59-349200 notebook + Windows 7 operációs rendszer	220393 Ft	15,6"	LED	1920x1080 pixel	Intel® Core™ i5 3210M	2,5 GHz	5 GT/s	6GB DDR3 1600MHz	2 db	8GB	1 TB	5400 RPM	nVidia GeForce GTX 660M	2GB	2,8 kg	2 év	Li-ion	max. 4,5 óra	6	DVD SuperMulti	Windows 7 Home Premium 64bit	Windows 7	Lenovo	Mobile Intel® HM76 Express	Gigabit LAN, WiFi	2xUSB 2.0, 2xUSB 3.0, fülhallgató kimenet, HDMI, LAN, mikrofon bemenet, SPDIF, VGA	fülhallgató kimenet, mikrofon bemenet, SPDIF	6in1	magyar	Szürke	385 x 255 x 35,7 mm	hálózati adapter	Full HD felbontású LED kijelző	
Packard Bell EASYNOTE TE-F5211-HC-454HG notebook	74724 Ft	15,6"	LED	1366x768 pixel	Intel® Celeron® Dual Core B815	1,6 GHz	5 GT/s	4GB DDR3 1333MHz	2 db	8GB	500GB	5400 RPM	Intel HD Graphics	megosztott	2,5 kg	2 év	Li-ion	4400mAh	6	SuperMulti	nincs	Linux, Windows 7	Packard Bell	Intel HM70	10/100/1000 LAN, WLAN	3xUSB 2.0, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	van	magyar	Ezüst, Fekete	381.6 x 253 x 25.4/33.2 mm	hálózati adapter	beépített webkamera	
Samsung NP700Z3A-S01HU notebook + Windows 7 operációs rendszer	263700 Ft	15,6"	LED	1600x900 pixel	Intel Core i5 2450M	2,5 GHz	5 GT/s	4+2GB DDR3 1333MHz	2 db	8GB		5400 RPM	ATI Radeon HD6750	1GB	2,3 kg	2 év	Li-ion 80W	-	8	SuperMulti	Windows 7 Home Premium	Windows 7	Samsung	-	10/100 LAN, Bluetooth, WiFi	1xUSB 2.0, 2xUSB 3.0, D-SUB, HDMI	fülhallgató kimenet, mikrofon bemenet	4in1	magyar	Alumíniumszürke	362,1 x 238,5 x 23,9mm	hálózati kábel, webkamera beépített	beépített hangszóró, beépített mikrofon, beépített webkamera	
Asus B33E-RO125X notebook + Windows 7 Professional + táska, egér	207795 Ft	13,3"	nincs adat	1366x768 pixel	Intel® Core™ i5 2450M	2,5 GHz	5 GT/s	4GB DDR3 1333MHz	2 db	8GB	500GB	7200 RPM	Intel HD Graphics 3000	megosztott	1,9 kg	3 év	Li-ion	4400mAh	4	SuperMulti	Windows 7 Professional 64 bit	Windows 7	Asus	Mobile Intel® HM65 Express	Bluetooth, Gigabit LAN, WLAN	1x eSATA/USB, 1xUSB 3.0, 2xUSB 2.0, D-SUB, HDMI, LAN	fülhallgató kimenet, mikrofon bemenet	5in1	magyar	Fekete	326 x 226 x 297 mm	egér, hálózati adapter, hordtáska	beépített webkamera, TPM, Ujjlenyomat olvasó	
Asus B53E-SO266X notebook + Windows 7 Professional operációs rendszer + táska	195984 Ft	15,6"	LED	1366x768 pixel	Intel Core i5 2450M	2,5 GHz	5 GT/s	4GB DDR3 1333MHz	2 db	8GB	500GB	7200 RPM	Intel HD Graphics	megosztott	2,7 kg	3 év	Li-ion	4400mAh	6	SuperMulti	Windows 7 Professional 64 bit	Windows 7	Asus	Mobile Intel® HM65 Express	Bluetooth, Gigabit LAN, WLAN	1x eSATA/USB, 1xUSB 3.0, 2xUSB 2.0, audio, DisplayPort, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	5in1	magyar	Fekete	38.4 x 26.3 x 3.3 ~3.5 cm	hálózati töltő, hordtáska	beépített webkamera, cseppálló billentyűzet, HDD védelem	
Asus B53E-SO262X notebook + Windows 7 Professional + táska	176299 Ft	15,6"	LED	1366x768 pixel	Intel Core i3-2350M	2,3 GHz	5 GT/s	4GB DDR3 1333MHz	2 db	8GB	500GB	7200 RPM	Intel HD Graphics	megosztott	2,7 kg	3 év	Li-ion	4400mAh	6	SuperMulti	Windows 7 Professional 64 bit	Windows 7	Asus	Mobile Intel® HM65 Express	Bluetooth, Gigabit LAN, WLAN	1x eSATA/USB, 1xUSB 3.0, 2xUSB 2.0, audio, DisplayPort, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	5in1	magyar	Fekete	38.4 x 26.3 x 3.3 ~3.5 cm	hálózati töltő, hordtáska	beépített webkamera, cseppálló billentyűzet, HDD védelem	
Packard Bell EASYNOTE TE-F5211-HC-232HG notebook	70787 Ft	15,6"	LED	1366x768 pixel	Intel® Celeron® B820	1,7 GHz	5 GT/s	2GB DDR3 1333MHz	2 db	8GB	320 GB	5400 RPM	Intel HD Graphics	megosztott	2,5 kg	2 év	Li-ion	4400mAh	6	SuperMulti	Linux	Linux, Windows 7	Packard Bell	Intel HM70	10/100/1000 LAN, WLAN	3xUSB 2.0, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	van	magyar	Fekete	381.6 x 253 x 25.4/33.2 mm	hálózati adapter	beépített webkamera	
Toshiba Satellite U840W-108 notebook + Windows 7 operációs rendszer	236141 Ft	14,4"	LED	1792 x 768 pixel	Intel® Core™ i5 3317U	1,7 GHz	5 GT/s	4GB DDR3 1600MHz	2 db	10 GB	320 GB, 32GB SSD	5400 RPM	Intel HD Graphics 4000	megosztott	1,7 kg	2 év	Li-ion	max. 7,5 óra	4	nincs	Windows 7 Home Premium 64bit	Windows 7	Toshiba	-	10/100 LAN, Bluetooth, WiFi	3xUSB 3.0, HDMI, LAN	fülhallgató kimenet, mikrofon bemenet	van	magyar	Ezüst, Fekete	368,7 x 200,0 x 20,33 mm	hálózati adapter	beépített webkamera	
Asus B53S-SO180X notebook + Windows 7 Professional + táska	223543 Ft	15,6"	LED	1366x768 pixel	Intel Core i5 2450M	2,5 GHz	5 GT/s	4GB DDR3 1333MHz	2 db	8GB	750 GB	7200 RPM	ATI Radeon HD6470M	1GB	2,7 kg	3 év	Li-ion	4400mAh	4	SuperMulti	Windows 7 Professional 64 bit	Windows 7	Asus	Mobile Intel® HM65 Express	Bluetooth, Gigabit LAN, WLAN	1xUSB 3.0, 2xUSB 2.0, audio, DisplayPort, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	5in1	magyar	Fekete	38.4 x 26.3 x 3.3 ~3.5 cm	hálózati töltő, hordtáska	beépített webkamera, cseppálló billentyűzet, HDD védelem, TPM, Ujjlenyomat olvasó	
Samsung NP400B2B-A01HU notebook + Windows 7 operációs rendszer	210944 Ft	12,5	LED	1366x768 pixel	Intel® Core™ i5 2450M	2,5 GHz	5 GT/s	4GB DDR3 1333MHz	1 db	8GB	500GB	5400 RPM	Intel HD Graphics 3000	megosztott	1,8 kg	2 év	Li-ion	4800mAh	6	nincs	Windows 7 Home Premium 64bit	Windows 7	Samsung	Mobile Intel	Bluetooth, Gigabit LAN, WiFi	1xUSB 3.0, 2xUSB 2.0, D-SUB, eSATA, fülhallgató kimenet, HDMI, LAN, mikrofon bemenet	fülhallgató kimenet, mikrofon bemenet	van	magyar	Fekete	302,10x32,20x223,7 mm	hálózati adapter	beépített hangszóró, beépített webkamera	
Fujitsu LIFEBOOK E751 notebook + Windows 7 operációs rendszer	243307 Ft	15,6"	Antiglare, LED	1366x768 pixel	Intel Core i5 2520M	2,5 GHz	5 GT/s	4GB DDR3 1333MHz	1 db	nincs adat	500GB	4500 RPM	Intel HD Graphics	-	2,5 kg	3 év	gyári adat	-	6	DVD SuperMulti	Windows 7 Home Premium 64bit	Windows 7	Fujitsu	Intel QM67	10/100/1000 LAN	1xUSB 2.0, DisplayPort, eSATA, LAN, mikrofon bemenet	fülhallgató kimenet, mikrofon bemenet	SD	magyar	Fekete		leírás	beépített webkamera	
Samsung NP200B5B-A01HU notebook + Windows 7 operációs rendszer	199921 Ft	15,6"	LED	1366x768 pixel	Intel® Core™ i3-2350M	2,3 GHz	5 GT/s	4GB DDR3 1333MHz	1 db	8GB	500GB	7200 RPM	Intel HD Graphics 3000	megosztott	2,5 kg	2 év	Li-ion	4400mAh	6	DVD SuperMulti	Windows 7 Home Premium	Windows 7	Samsung	Mobile Intel® HM65 Express	Bluetooth, Gigabit LAN, WiFi	2xUSB 2.0, 2xUSB 3.0, D-SUB, fülhallgató kimenet, HDMI, LAN, mikrofon bemenet	fülhallgató kimenet, mikrofon bemenet	van	magyar	Fekete	370 x 248.3 x 28.6 ~ 35.3mm	hálózati adapter	beépített hangszóró, beépített webkamera	
Asus B53E-SO268X notebook + Windows 7 Professional + táska	199921 Ft	15,6"	LED	1366x768 pixel	Intel Core i5 2450M	2,5 GHz	5 GT/s	4GB DDR3 1333MHz	2 db	8GB	750 GB	5400 RPM	Intel HD Graphics	megosztott	2,7 kg	3 év	Li-ion	4400mAh	6	SuperMulti	Windows 7 Professional 64 bit	Windows 7	Asus	Mobile Intel® HM65 Express	Bluetooth, Gigabit LAN, WLAN	1x eSATA/USB, 1xUSB 3.0, 2xUSB 2.0, audio, DisplayPort, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	5in1	magyar	Fekete	38.4 x 26.3 x 3.3 ~3.5 cm	hálózati töltő, hordtáska	beépített webkamera, cseppálló billentyűzet, HDD védelem	
Fujitsu LIFEBOOK E781 notebook + Windows 7 operációs rendszer	369291 Ft	15,6"	Antiglare, LED	1600x900 pixel	Intel Core i7-2640M	2,8 GHz	-	4GB DDR3 1333MHz	1 db	8GB	500GB	4500 RPM	Intel HD Graphics	-	2,5 kg	3 év	gyári adat	-	6	DVD SuperMulti	Windows 7 Professional 64 bit	Windows 7	Fujitsu	Intel QM67	10/100/1000 LAN	1xUSB 2.0, DisplayPort, eSATA, LAN, mikrofon bemenet	fülhallgató kimenet, mikrofon bemenet	SD	magyar	Fekete		leírás	beépített webkamera, Ujjlenyomat olvasó	
Toshiba Portégé Z830-11M ultrabook + Windows 7 operációs rendszer	228267 Ft	13,3"	LED	1366x768 pixel	Intel® Core™ i5 2467M	1,6 GHz	1333 MHz	4GB DDR3 1333MHz	2 db	6GB	128 GB SSD	nincs	Intel HD Graphics 3000	megosztott	1,1 kg	3 év	Li-ion	max. 8 óra	8	nincs	Windows 7 Home Premium 64bit	Windows 7	Toshiba	-	3G WWAN, Gigabit LAN, WiFi	1xUSB 3.0, 2xUSB 2.0, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	van	magyar	Ezüst	316,0 x 227,0 x 8,3mm	hálózati adapter	beépített webkamera, cseppálló billentyűzet, merevlemez rázkódásvédelem	
Packard Bell EASYNOTE TK-F4011-BZ-253HG notebook	70787 Ft	15,6"	LED, WXGA	1366x768 pixel	AMD Dual-Core E-300	1,3 GHz	1066 MHz	2 GB DDR3	1 db	8GB	500GB	5400 RPM	AMD Radeon HD 6310	megosztott	2,54 kg	2 év	Li-ion	4400mAh	6	DVD SuperMulti	Linux	Windows 7	Packard Bell	AMD	10/100 LAN, WiFi	3xUSB 2.0, audio, D-SUB, HDMI, LAN	fülhallgató kimenet, mikrofon bemenet	5in1	magyar	Fekete	378 x 253 x 35,6 mm	akkumulátor, hálózati adapter	beépített webkamera	
Lenovo Ideapad G580 59-353496 notebook + Windows 8 operációs rendszer	133779 Ft	15,6"	LED	1366x768 pixel	Intel® Core™ i3-3110M	2,4 GHz	5 GT/s	4GB DDR3 1333MHz	2 db	8GB	500GB	5400 RPM	nVidia GeForce GT610M	1GB	2,6 kg	2 év	Li-ion	-	6	SuperMulti	Windows 8	Windows 7, Windows 8	Lenovo	Mobile Intel® HM76 Express	Bluetooth, Gigabit LAN, WLAN	1xUSB 2.0, 2xUSB 3.0, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	2in1	magyar	Ezüst	376 x 245x 34,3 mm	hálózati adapter	beépített webkamera	
Sony Vaio SVT1312V1E ultrabook + Windows 8 operációs rendszer	236141 Ft	13,3"	LED	1366x768 pixel	Intel® Core™ i5 3317U	1,7 GHz	5 GT/s	4GB DDR3 1600MHz	1 db	4 GB	128 GB SSD	nincs	Intel HD Graphics 4000	megosztott	1,7 kg	2 év	Li-ion	-	-	nincs	Windows 8	Windows 7, Windows 8	Sony	Mobile Intel® HM76 Express	Bluetooth, Gigabit LAN, WLAN	1xUSB 2.0, 1xUSB 3.0, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	van	nincs adat	nincs adat	226 x 19 x 323,0 mm	hálózati adapter	beépített webkamera	
Sony Vaio SVE1512E6E notebook, fehér + Windows 8 operációs rendszer	133779 Ft	15,5"	LED	1366x768 pixel	Intel Pentium B980	2,4 GHz	5 GT/s	4GB DDR3 1333MHz	2 db	8GB	500GB	5400 RPM	AMD Radeon HD 7650M	1GB	2,7 kg	2 év	Li-ion	-	-	SuperMulti	Windows 8	Windows 7, Windows 8	Sony	Intel HM70	10/100 LAN, Bluetooth, WLAN	1xUSB 3.0, 3xUSB 2.0, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	van	magyar	Fehér	253,5 x 25,3 - 35,1 x 371,9 mm	hálózati adapter	beépített webkamera	
Sony Vaio SVE1512E1E notebook, fehér + Windows 8 operációs rendszer	157401 Ft	15,5"	LED	1366x768 pixel	Intel® Core™ i3-3110M	2,4 GHz	5 GT/s	4GB DDR3 1600MHz	2 db	8GB	500GB	5400 RPM	AMD Radeon HD 7650M	1GB	2,7 kg	2 év	Li-ion	-	-	SuperMulti	Windows 8	Windows 7, Windows 8	Sony	Intel HM76 Express	10/100 LAN, Bluetooth, WLAN	1xUSB 3.0, 3xUSB 2.0, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	van	magyar	Fehér	253,5 x 25,3 - 35,1 x 371,9 mm	hálózati adapter	beépített webkamera	
Sony Vaio SVE1712V1EB notebook, fekete + Windows 8 operációs rendszer	275511 Ft	17"	LED	1920x1080 pixel	Intel® Core™ i7-3632QM	2,2 GHz	5 GT/s	6GB DDR3 1600MHz	2 db	8GB	750 GB	5400 RPM	AMD Radeon HD 7650M	2GB	3,2 kg	2 év	Li-ion	-	-	SuperMulti	Windows 8	Windows 7, Windows 8	Sony	Mobile Intel® HM76 Express	Bluetooth, Gigabit LAN, WLAN	1xUSB 3.0, 3xUSB 2.0, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	van	magyar	Ezüst	278,0 x 27,1 - 37,8 x 408,7mm	hálózati adapter	beépített webkamera	
Samsung NP300E5C-S04HU notebook + Windows 8 operációs rendszer	110157 Ft	15,6"	LED, WXGA	1366x768 pixel	Intel® Pentium®B970 2,3Ghz CPU	2,3 GHz	5 GT/s	4GB DDR3 1066MHz	1 db	8GB	750 GB	5400 RPM	NVIDIA GeForce GT620M	1GB	2,54 kg	2 év	Li-ion	4400mAh	6	DVD SuperMulti	nincs adat	Windows 7, Windows 8, Windows Vista	Samsung	Mobile Intel® HM65 Express	10/100 LAN, Bluetooth, WiFi	3xUSB 2.0, DVI-D, fülhallgató kimenet, HDMI, LAN	fülhallgató kimenet, mikrofon bemenet	4in1	magyar	Ezüst, Fekete	376 x 250 x 33 mm	akkumulátor, hálózati adapter	beépített hangszóró, beépített webkamera	
Samsung NP300E5C-S06HU notebook + Windows 8 operációs rendszer	157401 Ft	15,4"	LED	1366x768 pixel	Intel® Core™ i5 3210M	3,1 GHz	5 GT/s	6GB DDR3 1600MHz	2 db	8GB	1 TB	5400 RPM	NVIDIA GeForce GT620M	1GB	2,3 kg	2 év	Li-ion	4400mAh	6	SuperMulti	Windows 8	Windows 7, Windows 8	Samsung	Mobile Intel® HM76 Express	10/100 LAN, Bluetooth, WLAN	3xUSB 2.0, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	4in1	magyar	Ezüst, Fekete	367.9 x 243 x 29 ~ 34.9mm	hálózati töltő	beépített webkamera	
Packard Bell EASYNOTE TV43-HC-645HG notebook + Windows 8 operációs rendszer	106220 Ft	15,6"	LED	1366x768 pixel	Intel Pentium B960	2,2 GHz	5 GT/s	4GB DDR3 1333MHz	1 db	8GB	500GB	5400 RPM	integrált	megosztott	2,6 kg	2 év	Li-ion	max. 3,4 óra	nincs adat	DVD SuperMulti	Windows 8	Windows 7, Windows 8, Windows Vista	Packard Bell	Intel HM70	10/100 LAN, WiFi	3xUSB 2.0, fülhallgató kimenet, HDMI, LAN, mikrofon bemenet	fülhallgató kimenet, mikrofon bemenet	van	magyar	Fehér, Piros	381,6x253x33,2mm	akkumulátor, hálózati adapter	beépített hangszóró, beépített webkamera	
