TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Egyéb	Állapot	Szín	BT	USB	CR	Bill.	TV ki	Touchpad	WLAN	FW	LAN	Modem	PCMCIA	Portok	Család	Modell	Dokk	Kamera	Kategória	Bill. Num	HDMI	ExpressCard	Külső táskaméret	FP	3G kártyahely	eSata
Dell Vostro 3460-23 Red i5 W8	188898 Ft	14ʺ HD LED AntiGlare	Core i5 3230M (2600)	6144 (DDR3) MB	500 GB	Intel HD Graphics 4000	DVDRW +/- DL	3 év helyszíni	6 cellás	Windows 8 64Bit HUN		Új	piros	4.0	4 db USB 3.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro			van	Multimédia		van			van			
Dell Vostro 3360-37 Coffee i5 W8	188898 Ft	13.3ʺ HD LED AntiGlare	Core i5 3337U (1800)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év helyszíni	4 cellás	Windows 8 64Bit HUN		Új	barna	4.0	3 db USB 3.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 33xx		van	Multimédia		van			van			
Dell Vostro 3550 i5 S Red 3913830 W7	188898 Ft	15.6ʺ HD (1366x768)	Core i5 2450M (2500)	2048 (DDR3) MB	500 (7200 rpm) GB	Intel Media Accelerator HD	DVDRW SM	3 év	6 cellás	Windows7 HomePrem 64 HUN		Új	piros	van	2x3.0.1x2.0	3 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 35xx		van	Multimédia		van	van		van		van	
Samsung NP915S3G-K01HU White W8	188898 Ft	13.3ʺ HD LED Touch	QuadCore 4x1000	4096 (DDR3) MB	128 GB SSD GB	AMD Radeon HD 8250	nincs optikai meghajtó	2 év	2 cellás	Windows 8 64Bit HUN		Új	fehér	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Samsung	Samsung N		van			van						
Dell Vostro 3360 Silver i7 LX 3714198	188898 Ft	13.3ʺ HD LED AntiGlare	Core i7 3517U (1900)	4096 (DDR3) MB	320 (7200) GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	nincs (L)		Új	ezüst	4.0	3 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 33xx		van			van			van			
Fujitsu Lifebook UH572 i5 Red W7 3Y ULB	188898 Ft	13.3ʺ HD LED AntiGlare	Intel® Core™ i5-3317U processor	4096 (DDR3) MB	500 + 32 SSD GB	Intel HD Graphics	nincs optikai meghajtó	3 év	4 cellás	Windows7 Prof 64Bit HUN		Új	piros	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps						Lifebook			van	Ultrabook		van						
Dell Vostro 3360-36 Silver i5 W8	188898 Ft	13.3ʺ HD LED AntiGlare	Core i5 3337U (1800)	4096 (DDR3) MB	500 GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év helyszíni	4 cellás	Windows 8 64Bit HUN		Új	ezüst	4.0	3 db USB 3.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 33xx		van	Multimédia		van			van			
Dell Vostro 3460-19 Coffee i5 LX	188898 Ft	14ʺ HD LED AntiGlare	Core i5 3230M (2600)	4096 (DDR3) MB	750 (7200 rpm) GB	1024 MB NVIDIA GF GT630M	DVDRW +/- DL	3 év	6 cellás	nincs (L)		Új	barna	4.0	4 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro			van	Multimédia		van			van			
Asus U32VJ-RO015P Silver W8 BIM	196772 Ft	13.3ʺ HD LED (1366x768)	Core i5 3210M (2500)	4096 (DDR3) MB	750 GB	2048 MB NVIDIA GF GT635M	nincs optikai meghajtó	2 év	5800 mAh (Li-ion)	Windows 8 Pro 64Bit HUN		Új	ezüst	4.0	3 db USB 3.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Mobility	ASUS U		van	Szupergyors		van		Ajándék táska+egér				
HP EliteBook 2570p A1L17AV W7 3Y	196772 Ft	12.5ʺ HD LED	Core i5 3210M (2500)	4096 (DDR3) MB	320 (7200) GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	6 cellás	Windows7 Prof 32Bit HUN		Új	ezüst		1x3.0.2x2.0	2 in 1	magyar		Track point + Touch pad	b/g/n 300mbps		10/100/1000			GPS	EliteBook	EliteBook 25xx		van	Multimédia			van	Ajándék táska+egér		Beépített 3G/HSDPA modem	e-SATA/USB	
Toshiba Satellite P845T-10C Silver W8	196772 Ft	14ʺ HD Multi-Touch	Core i5 3337U (1800)	8192 (DDR3) MB	750 GB	2048 MB NVIDIA GF GT630M	DVDRW SM	2 év	4200 mAh (Li-ion)	Windows 8 Pro 64Bit HUN		Új	ezüst	4.0	3 db USB 3.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Satellite	Satellite P		van	Szupergyors		van						
HP EliteBook 8460p W7 Pro	199900 Ft	14.1ʺ LED (1600x900)	Core i7 2620M (2700)	4096 (DDR3) MB	320 GB	Intel HD Graphics 3000	DVDRW SM	3 nap		Windows7 Prof 32Bit HUN		Használt	ezüst	van	2x3.0.1x2.0	2 in 1	magyar		Track point + Touch pad	b/g/n 300mbps	van	10/100/1000	van		VGA	EliteBook	EliteBook 84xx	van	van	Szupergyors			van		van	Előkészítés modem nélkül	e-SATA/USB	
HP Renew ENVY 14 Spectre B3S46EAR#A2N	203937 Ft	14ʺ LED (1600x900)	Core i5 3317U (1700)	4096 (DDR3) MB	128 GB SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	1 év	4 cellás	Windows7 HomePrem 64Bit		Újracsomagolt	fekete	van	1x3.0.1x2.0	2 in 1	egyéb		Touch pad	b/g/n 300mbps		10/100/1000							van	Ultrabook		van						
Fujitsu Lifebook UH572 i5 Red W7 XT ULB	204646 Ft	13.3ʺ HD LED AntiGlare	Intel Core i5-3317U upto 2600	4096 (DDR3) MB	500 + 32 SSD GB	Intel HD Graphics	nincs optikai meghajtó	2 év	4 cellás	Windows7 Prof 64Bit HUN		Új	piros	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps						Lifebook			van	Ultrabook		van				Előkészítés modem nélkül		
Dell Vostro 3360-HA2W Coffee i5 W8	204646 Ft	13.3ʺ HD LED AntiGlare	Core i5 3337U (1800)	6144 (DDR3) MB	128 GB SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év helyszíni	4 cellás	Windows 8 64Bit HUN		Új	barna	4.0	3 db USB 3.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 33xx		van	Multimédia		van			van			
Dell Vostro 3560-38 Red i5 W8 Pro	204646 Ft	15.6ʺ HD LED anti-glare	Core i5 3230M (2600)	6144 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/- DL	3 év helyszíni	6 cellás	Windows 8 Pro 64Bit HUN		Új	piros	4.0	4 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 35xx		van	Multimédia		van	van		van			
Dell Vostro 3460-27 Red i5 W8	204646 Ft	14ʺ HD LED AntiGlare	Core i5 3230M (2600)	6144 (DDR3) MB	500 GB	1024 MB NVIDIA GF GT630M	DVDRW +/- DL	3 év helyszíni	6 cellás	Windows 8 64Bit HUN		Új	piros	4.0	4 db USB 3.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro			van	Multimédia		van			van			
Dell Vostro 3560-36 Silver i5 W8 Pro	204646 Ft	15.6ʺ HD LED anti-glare	Core i5 3230M (2600)	6144 (DDR3) MB	500 GB	1024 MB AMD Radeon HD 7670M	DVDRW +/- DL	3 év helyszíni	6 cellás	Windows 8 Pro 64Bit HUN		Új	ezüst	4.0	4 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 35xx		van	Multimédia		van	van		van			
Dell Vostro 3360-41 Red i5 W8	212520 Ft	13.3ʺ HD LED AntiGlare	Core i5 3337U (1800)	6144 (DDR3) MB	128 GB SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év helyszíni	4 cellás	Windows 8 64Bit HUN		Új	piros	4.0	3 db USB 3.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 33xx		van	Multimédia		van			van			
Dell Vostro 3360-39 Silver i5 W8	212520 Ft	13.3ʺ HD LED AntiGlare	Core i5 3337U (1800)	6144 (DDR3) MB	128 GB SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év helyszíni	4 cellás	Windows 8 64Bit HUN		Új	ezüst	4.0	3 db USB 3.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 33xx		van	Multimédia		van			van			
Toshiba Tecra R840-13T i5 Black W7	216457 Ft	14ʺ HD LED (1366x768)	Core i5 2520M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	1024 MB AMD Radeon HD 6450M	DVDRW SM	3 év	6 cellás	Windows7 Prof 64Bit HUN		Új	fekete	van	1x3.0.1x2.0	SD card	magyar		Track point + Touch pad	b/g/n 300mbps		10/100/1000			VGA	Tecra		van	van	Multimédia			van		van		e-SATA/USB	
Lenovo IdeaPad Y510p Black 59-390561 FD	220394 Ft	15.6ʺ Full HD LED AntiGlare	Core i5 4200M (2500)	4096 (DDR3) MB	1000 + 8 SSHD GB	2048 MB NVIDIA GF GT750M SLI	nincs optikai meghajtó	3 év	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	IdeaPad	IdeaPad Y		van	Szupergyors	van	van						
Toshiba Satellite P50-A-11U Silver W8	220394 Ft	15.6ʺ Full HD TL (1920x1080)	Core i7 3630QM (2400)	8192 (DDR3) MB	1000 GB	2048 MB NVIDIA GF GT740M	DVDRW SM	2 év	4 cellás	Windows 8 64Bit HUN		Új	ezüst	4.0	2x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Szupergyors	van	van						
Toshiba Satellite U920T-104 i5 Silver W8 2Y ULB	220394 Ft	12.5ʺ HD LED Touch	Core i5 3317U (1700)	4096 (DDR3) MB	128 GB SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	2 év	3 cellás (extended)	Windows 8 64Bit HUN		Új	ezüst	4.0	2 db USB 3.0	SD card	magyar		Touch pad	b/g/n 300mbps						Satellite	Satellite U		Dual Webcamera	Ultrabook		van						
Fujitsu Lifebook UH572 i5 3G Red W7 ULB	224331 Ft	13.3ʺ HD LED AntiGlare	Core i5 3317U (1700)	4096 (DDR3) MB	128 GB SSD GB	Intel HD Graphics	nincs optikai meghajtó	2 év	4 cellás	Windows7 Prof 64Bit HUN		Új	piros	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps						Lifebook			van	Ultrabook		van				Beépített 3G/HSDPA modem		
Lenovo ThinkPad T430i Black N1TCZHV W8	224331 Ft	14ʺ HD+ LED AG (1600x900)	Core i3 3120M (2500)	4096 (DDR3) MB	500 (7200 rpm) GB	Intel HD Graphics 4000	DVDRW	3 év	5200 mAh (Li-ion)	Windows 8 Pro 64Bit HUN		Új	fekete	4.0	2x3.0.2x2.0	4 in 1	magyar		Track point + Touch pad	b/g/n 300mbps		10/100/1000			VGA	ThinkPad	ThinkPad T	van	van	Első noteszgépem			van		van	Előkészítés modem nélkül		
Asus UX31A-R4005H Silver W8 BIM ULB	228268 Ft	13.3ʺ FHD LED	Core i5 3317U (1700)	4096 (DDR3) MB	128 GB SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	2 év	4 cellás	Windows 8 64Bit HUN		Új	ezüst	4.0	2 db USB 3.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	Mobility	ASUS U		van	Ultrabook		van		Ajándék tok				
Dell Inspiron 7737-AG4L Silver i7 LX	228268 Ft	17.3ʺ HD+ Touch (1600x900)	Core i7 4500U (1800)	8192 (DDR3) MB	1000 GB	Intel HD 4400	DVDRW +/-	3 év	4 cellás	nincs (L)		Új	ezüst	4.0	3x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Inspiron			van	Szupergyors	van	van						
Dell Vostro 3360-HA8W Silver i7 W8	228268 Ft	13.3ʺ HD LED AntiGlare	Core i7 3537U (2000)	8192 (DDR3) MB	500 + 32 mSATA GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év helyszíni	4 cellás	Windows 8 64Bit HUN		Új	ezüst	4.0	3 db USB 3.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 33xx		van	Szupergyors		van			van			
Dell Vostro 3360-42 Silver i7 W8	228268 Ft	13.3ʺ HD LED AntiGlare	Core i7 3537U (2000)	8192 (DDR3) MB	500 + 32 SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év helyszíni	4 cellás	Windows 8 64Bit HUN		Új	ezüst	4.0	3 db USB 3.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Vostro	Vostro 33xx		van	Szupergyors		van			van			
Dell Inspiron 7737-AG2L Silver i5 LX	228268 Ft	17.3ʺ HD+ Touch (1600x900)	Core i5 4200U (1600)	6144 (DDR3) MB	1000 GB	2048 MB NVIDIA GF GT750M	DVDRW +/-	3 év	4 cellás	nincs (L)		Új	ezüst	4.0	3x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Inspiron			van	Szupergyors	van	van						
Dell Inspiron 7537-AG4L Silver i7 LX	236142 Ft	15.6ʺ FHD Touch (1920x1080)	Core i7 4500U (1800)	8192 (DDR3) MB	1000 GB	2048 MB NVIDIA GF GT750M	nincs optikai meghajtó	3 év	4 cellás	nincs (L)		Új	ezüst	4.0	4 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Inspiron			van	Szupergyors	van	van						
ThinkPad T530 3G W7	236142 Ft	15.6ʺ HD LED matt	Core i5 3320M (2600)	4096 (DDR3) MB	320 (7200) GB	Intel HD Graphics 4000	DVDRW	3 év	5200 mAh (Li-ion)	Windows7 Prof 64Bit HUN		Új	fekete	4.0	2x3.0.2x2.0	4 in 1	magyar		Track point + Touch pad	b/g/n 300mbps		10/100/1000			VGA	ThinkPad	ThinkPad T	van	van	Multimédia			van		van	Beépített 3G/HSDPA modem		
Lenovo ThinkPad EDGE Twist S230U i5 W8 ULB 2Y	236142 Ft	12.5ʺ HD LED Touch	Core i5 3317U (1700)	4096 (DDR3) MB	500 + 24 SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	2 év	4 cellás	Windows 8 Pro 64Bit HUN		Új	fekete	4.0	2 db USB 3.0	4 in 1	magyar		Track point + Touch pad	b/g/n 300mbps						ThinkPad	ThinkPad Edge		van	Ultrabook		van						
Lenovo IdeaPad Y510p Black 59-404688 FD	236142 Ft	15.6ʺ Full HD LED AntiGlare	Core i7 4700MQ (2400)	4096 (DDR3) MB	1000 + 8 SSHD GB	2048 MB NVIDIA GF GT755M SLI	nincs optikai meghajtó	3 év	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	IdeaPad	IdeaPad Y		van	Szupergyors	van	van						
Toshiba Portege Z930-14C 3G W7 3Y ULB	236142 Ft	13.3ʺ HD LED (1366x768)	Core i5 3437U (1900)	6144 (DDR3) MB	128 GB SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	8 cellás	Windows7 Prof 64Bit HUN		Új	szürke	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Portégé			van	Ultrabook		van			van	Beépített 3G/HSDPA modem		
Lenovo IdeaPad Y510p Black 59-390564 FD	236142 Ft	15.6ʺ Full HD LED AntiGlare	Core i7 4700MQ (2400)	4096 (DDR3) MB	1000 + 8 SSHD GB	2048 MB NVIDIA GF GT750M SLI	nincs optikai meghajtó	3 év	6 cellás	nincs (F)		Új	fekete	4.0	2x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	IdeaPad	IdeaPad Y		van	Szupergyors	van	van						
Toshiba Satellite P855-33U Silver W8	236142 Ft	15.6ʺ HD LED fényes	Core i7 3630QM (2400)	8192 (DDR3) MB	1000 GB	2048 MB NVIDIA GF GT640M	Blu-ray Disc (író/olvasó)	3 év	4200 mAh (Li-ion)	Windows 8 64Bit HUN		Új	ezüst	4.0	4 db USB 3.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Satellite	Satellite P		van	Szupergyors	van	van						
HP Folio B0N00AA i5 W7 Pro	240079 Ft	13.3ʺ HD LED (1366x768)	Core i5 2467M (1600)	4096 (DDR3) MB	128 GB SSD GB	Intel HD Graphics 3000	nincs optikai meghajtó	3 év	6 cellás	Windows7 Prof 64Bit ENG		Új	ezüst	3.0	1x3.0.1x2.0	4 in 1	angol		Touch pad	b/g/n 300mbps		10/100/1000							van			van						
Dell Inspiron 7737-AA1 Silver i7 W8	244016 Ft	17.3ʺ HD+ Touch (1600x900)	Core i7 4500U (1800)	8192 (DDR3) MB	1000 GB	Intel HD 4400	DVDRW +/-	3 év	4 cellás	Windows 8 64Bit		Új	ezüst	4.0	3x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Inspiron			van	Szupergyors	van	van						
Dell Inspiron 7537-AG5 Silver i7 W8	251890 Ft	15.6ʺ FHD Touch (1920x1080)	Core i7 4500U (1800)	8192 (DDR3) MB	1000 GB	2048 MB NVIDIA GF GT750M	No ODD	3 év	4 cellás	Windows 8 64Bit HUN		Új	ezüst	4.0	4 db USB 3.0	8 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Inspiron			van	Szupergyors	van	van						
Lenovo ThinkPad T430 W7	251890 Ft	14ʺ HD+ LED	Core i5 3320M (2600)	8192 (DDR3) MB	240 SSD GB	Intel HD Graphics 4000	DVDRW	3 év	5200 mAh (Li-ion)	Windows7 Prof 64Bit HUN		Új	fekete	4.0	2x3.0.2x2.0	4 in 1	magyar		Track point + Touch pad	b/g/n 300mbps		10/100/1000			VGA	ThinkPad	ThinkPad T	van	van	Multimédia			van					
Lenovo YOGA Silver 59-356588 i5 W8 3Y ULB	275512 Ft	13.3 HD+ Multi Touch	Core i5 3317U (1700)	4096 (DDR3) MB	128 GB SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	Windows 8 64Bit HUN		Új	ezüst	4.0	1x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps									van	Ultrabook		van						
Fujitsu Lifebook U772 i5 3G Red W7 ULB	299134 Ft	14ʺ HD LED (1366x768)	Intel Core i5-3317U upto 2600	4096 (DDR3) MB	500 + 32 SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	Windows7 Prof 64Bit HUN		Új	piros	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Lifebook		van	van	Ultrabook		van			van	Beépített 3G/HSDPA modem		
Fujitsu Lifebook U772 i5 3G Red W7 D ULB	299134 Ft	14ʺ HD LED (1366x768)	Intel Core i5-3317U upto 2600	8192 (DDR3) MB	128 GB SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	Windows7 Prof 64Bit HUN		Új	piros	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Lifebook		van	van	Ultrabook		van			van	Beépített 3G/HSDPA modem		
Fujitsu Lifebook U772 i5 3G Silver W7 ULB	299134 Ft	14ʺ HD LED (1366x768)	Intel Core i5-3317U upto 2600	4096 (DDR3) MB	500 + 32 SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	Windows7 Prof 64Bit HUN		Új	ezüst	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Lifebook		van	van	Ultrabook		van			van	Beépített 3G/HSDPA modem		
Fujitsu Lifebook U772 i5 3G Silver W7 D ULB	299134 Ft	14ʺ HD LED (1366x768)	Intel Core i5-3317U upto 2600	8192 (DDR3) MB	128 GB SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	Windows7 Prof 64Bit HUN		Új	ezüst	4.0	2x3.0.1x2.0	4 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000				Lifebook		van	van	Ultrabook		van			van	Beépített 3G/HSDPA modem		
Lenovo YOGA Silver 59-356582 i7 W8 3Y ULB	314882 Ft	13.3 HD+ Multi Touch	Core i7 3517U (1900)	4096 (DDR3) MB	256 SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	Windows 8 64Bit HUN		Új	ezüst	4.0	1x3.0.1x2.0	2 in 1	magyar		Touch pad	b/g/n 300mbps									van	Ultrabook		van						
Asus UX31A-C4027H Silver W8 BIM ULB	354252 Ft	13.3ʺ FHD Touch (1920x1080)	Core i7 3517U (1900)	4096 (DDR3) MB	256 SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	2 év	4 cellás	Windows 8 64Bit HUN		Új	ezüst	4.0	2 db USB 3.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	Mobility	ASUS U		van	Ultrabook		van		Ajándék tok				
Sony Vaio SVD1321L2EW White W8 ULB	377945 Ft	13.3ʺ FHD Touch (1920x1080)	Core i5 4200U (1600)	4096 (DDR3) MB	128 GB SSD GB	Intel HD 4400	nincs optikai meghajtó	2 év		Windows 8 64Bit		Új	fehér	4.0	2 db USB 3.0	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			GPS	VAIO			Dual Webcamera	Ultrabook		van				Beépített 3G/HSDPA modem		
Lenovo ThinkPad X1 Carbon i7 3G N3K58HV i7 W8 D ULB	472362 Ft	14ʺ LED (1600x900)	Core i7 3667U (2000)	4096 (DDR3) MB	256 SSD GB	Intel HD Graphics 4000	nincs optikai meghajtó	3 év	4 cellás	Windows 8 Pro 64Bit HUN		Új	fekete	4.0	1x3.0.1x2.0	4 in 1	magyar		Track point + Touch pad	b/g/n 300mbps						ThinkPad	ThinkPad X		van	Ultrabook					van	Beépített 3G/HSDPA modem		
Toshiba Qosmio X70-A-11l Silver W8	472362 Ft	17.3ʺ LED FHD (1920x1080)	Core i7 4700MQ (2400)	32768 (DDR3) MB	1000 + 1000 + 256 SSD GB	3072 MB NVIDIA GF GTX770M	Blu-ray Disc (író/olvasó)	3 év	3000 mAh	Windows 8 Pro 64Bit HUN		Új	ezüst	4.0	4 db USB 3.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Szupergyors	van	van						
