TermékNév	Ár	TFT	CPU	RAM	HDD	HDD +	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Kamera	Egyéb	Audio	Szín
Lenovo Ideapad G500 (59-390483) Notebook	77900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, 1005M 1.90 GHz / 2MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	Intel GMA HD Graphics 4000	2,6 kg, 377 mm x 250 mm x 34 mm	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4800 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Toshiba Satellite C50-A-14L Notebook	78900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Celeron DualCore, 1005M 1.90 GHz / 2MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,3Kg, 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Toshiba Satellite C50-A-14G Notebook	78900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Celeron DualCore, 1005M 1.90 GHz / 2MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,3Kg, 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 3521 (INSP3521-33) Notebook	78900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, 1017U 1,6Ghz / 2MB Cache	2 GB, DDR3 1600MHz		320 GB, SATA-2	Intel GMA HD	2,3Kg, 25.4mm / 376mm / 259mm	3 év garancia	4 cella, 4000 mAh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11 n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 3521 (DI3521I-1017-2GH32D4BK-11) Notebook	80900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, 1017U 1,6Ghz / 2MB Cache	2 GB, DDR3 1600MHz		320 GB, SATA-2	Intel GMA HD	2,3Kg, 25.4mm / 376mm / 259mm	3 év garancia	4 cella, 4000 mAh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11 n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Toshiba Satellite C55-A-163 Notebook	84900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Celeron DualCore, 1005M 1.90 GHz / 2MB Cache	4 GB, DDR3 1600MHz		750GB, SATA-2	Intel GMA HD	2,3Kg, 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad G505 (59-390261) Notebook	84900 Ft	15,6", 1366x768, 16:9	AMD , A4-5000 1.5 GHz 2MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD/ATI Radeon HD 8330	2,6 kg, 377 mm x 250 mm x 34 mm	2 év garancia	6 cella	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Inspiron 3521 (INSP3521-29) Notebook	84900 Ft	15,6", 1366x768, 16:9	Intel DualCore, 2127U 1.9GHz / 2MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,3Kg, 25.4mm / 376mm / 259mm	3 év garancia	4 cella, 4000 mAh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11 n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Lenovo Ideapad G505 (59-402610) Notebook	85900 Ft	15,6", 1366x768, 16:9	AMD , A4-5000 1.5 GHz 2MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8330	2,6 kg, 377 mm x 250 mm x 34 mm	2 év garancia	6 cella	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Lenovo Ideapad B590 (59-374005) Notebook	88900 Ft	15,6", 1366x768, 16:9	Intel DualCore, 2020M 2.40 GHz / 4MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,2 kg	2 év garancia	6 cella, 2200 mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Lenovo Ideapad G500 (59-390067) Notebook	91900 Ft	15,6", 1366x768, 16:9	Intel DualCore, 2020M 2.40 GHz / 4MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	Intel GMA HD	2,6 kg, 377 mm x 250 mm x 34 mm	2 év garancia	6 cella, 5 óra átlagos üzemidő, 48Wh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Lenovo Ideapad G500s (59-390152) Notebook	98900 Ft	15,6", 1366x768, 16:9	Intel DualCore, 2020M 2.40 GHz / 4MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,7 kg, 380mm x 260mm x 26.9mm	2 év garancia	4 cella, 4 óra átlagos üzemidő, 41Wh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Lenovo Ideapad G505 (59-390258) Notebook	98900 Ft	15,6", 1366x768, 16:9	AMD , A4-5000 1.5 GHz 2MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8570M 1GB	2,6 kg, 377 mm x 250 mm x 34 mm	2 év garancia	6 cella	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Lenovo Ideapad G505 (59-390277) Notebook	99900 Ft	15,6", 1366x768, 16:9	AMD , E1-2100 1,00GHz / 2MB cache / 9 W	4 GB, DDR3 1600MHz		320 GB, SATA-2	AMD/ATI Radeon HD 8210	2,6 kg	2 év garancia	6 cella	DVD +/- RW, Super Multi	Windows 8 64 bit	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó	Camera 0.3MPixel				
Lenovo Ideapad G500 (59-390525) Notebook	100900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,6 kg, 377 mm x 250 mm x 34 mm	2 év garancia	6 cella, 5 óra átlagos üzemidő, 48Wh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Lenovo Ideapad G500 (59-390091) Notebook	100900 Ft	15,6", 1366x768, 16:9	Intel DualCore, 2020M 2.40 GHz / 4MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8570M 2GB	2,6 kg, 377 mm x 250 mm x 34 mm	2 év garancia	6 cella, 5 óra átlagos üzemidő, 48Wh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Lenovo Ideapad B590 (59-389657) Notebook	101900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,2 kg, 378 x 252 x 33,4 mm	2 év garancia	6 cella, 2200 mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Lenovo IdeaTab Miix 2 (59-402674) Tablet	101900 Ft	8" képátló, 1280x800, 16:10	Intel Atom Z3740 Processor (1.33GHz 2MB)	2GB RAM	64GB			350g	1 év garancia	2 cellás, 6800mAh, 7 óra		Windows 8.1 32bit	802.11b, g, n, Bluetooth 4.0, GPS	Micro SD (max. 32GB), micro-USB	2.0Mpixel elől, 5Mpixel hátul	Töltő	sztereó hangszóró, mikrofon	Ezüst	
Toshiba Satellite C55-A-19D Notebook	102900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,3Kg, 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad G505S (59-390290) Notebook	103900 Ft	15,6", 1366x768, 16:9	AMD , A8-4500M / 1.9 GHz / 4MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8570M 2GB	2,4 kg, 380 x 260 x 25,8 mm	2 év garancia	4 cella	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera				
Lenovo Ideapad G710 (59-402654) Notebook	104900 Ft	17,3", 1600*900, 16:9	Intel DualCore, 3550M 2.3GHz 2MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	Intel GMA HD	2,9 kg, 418 mm x 278 mm x 36,8 mm	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4800 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Lenovo Ideapad S210 (59-377622) Notebook	106900 Ft	11,6", 1366x768, 16:9	Intel DualCore, 2117U - 1,80GHz / 2MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	1,3 kg, 299 x 207 x 6-20,9 mm	2 év garancia	3 cella		Windows 8 Standard	10/100, 802.11.b/g/n WLAN	USB 3.0, USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera				
Lenovo Ideapad G505 (59-402609) Notebook	106900 Ft	15,6", 1366x768, 16:9	AMD , A4-5000 1.5 GHz 2MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8570M 2GB	2,6 kg, 377 mm x 250 mm x 34 mm	2 év garancia	6 cella	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Toshiba Satellite M50D-A-10W Notebook	107900 Ft	15,6" HD LED, 1366x768, 16:9	AMD , A4-5000 1.5 GHz 2MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD/ATI Radeon HD 8330	2,2 kg, 377.5 x 249.5 x 21.3 mm	2 év garancia	3 cella, 6 óra átlagos üzemidő		FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad G505S (59-390295) Notebook	108900 Ft	15,6", 1366x768, 16:9	AMD , A8-4500M / 1.9 GHz / 4MB Cache	8 GB, DDR3 1600MHz		1 TB HDD + 8GB SSD, SATA-2	AMD/ATI Radeon HD 8570M 2GB	2,4 kg, 380 x 260 x 25,8 mm	2 év garancia	6 cella	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera				
Lenovo Ideapad B590 (59-389658) Notebook	108900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		320 GB, SATA-2	Nvidia GeForce 720M 1GB	2,2 kg, 378 x 252 x 33,4 mm	2 év garancia	6 cella, 2200 mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Inspiron 3521 (INSP3521-27) Notebook	109900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3217U / 1.8GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD Radeon HD 7670 / 1GB	2,3Kg, 25.4mm / 376mm / 259mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11 n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Lenovo ThinkPad EDGE E535(NZR7AHV) Notebook	111900 Ft	15,6", 1366x768, 16:9	AMD , A6-4400M 3,2/2,7 GHz 1MB L2 cache	4 GB, DDR3 1333MHz		500 GB/7200rpm, SATA-2	AMD Radeon HD 7520G	2,5 kg, 377 x 245mm x 29.5-35.3mm	2 év garancia	6 cella, 6 óra átlagos üzemidő, 48Wh	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, 802.11 b/g WLAN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, HDMI out	720p HD webkamera				
Lenovo ideaPad U510 (59-393097) Notebook	113900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3217U / 1.8GHz / 3MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	Intel GMA HD Graphics 4000	2,2 kg, 382 x 250 x 21 mm	2 év garancia	Lithium-ion, 6 óra átlagos üzemidő, 45Wh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 db USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, Mini D-sub 15-pin, HDMI out	Camera 1.0 MPix HD				
Lenovo ideaPad U510 (59-393107) Notebook	113900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3217U / 1.8GHz / 3MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	Nvidia GeForce GT 720M 2GB DDR3	2,2 kg, 382 x 250 x 21 mm	2 év garancia	Lithium-ion, 6 óra átlagos üzemidő, 45Wh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 db USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, Mini D-sub 15-pin, HDMI out	Camera 1.0 MPix HD				
Toshiba Satellite C55-A-19N Notebook	113900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		750GB, SATA-2	Nvidia GeForce 710M 2GB gDDR3	2,3Kg, 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm	2 év garancia	6 cella, 4 óra átlagos üzemidő	DVD +/- RW, Dual Layer	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad G500 (59-402605) Notebook	113900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8570M 2GB	2,6 kg, 377 mm x 250 mm x 34 mm	2 év garancia	6 cella, 5 óra átlagos üzemidő, 48Wh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Samsung Ativ Book 2 NP270E5V-X03HU Notebook	116900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3120M /2.50 GHz/3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Nvidia Geforce 710M 1GB DDR3	2,2 kg, 376.0 x 248.0 x 25.2 ~ 31.8mm	2 év garancia	6 cella, 4800 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	3USB 2.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Lenovo TABLET MIIX 10 (59-380076) Tablet	117900 Ft	10,1 képátló, 1366x768, 16:9	Intel Atom Z2760 1.80GHz / 1MB Cache / DualCore	2GB RAM	64GB			580g	1 év garancia	2 cellás, 6800mAh, 10 óra		Windows 8 STD	802.11b, g, n, Bluetooth 4.0	mini HDMI 1.3, Micro SD (max. 32GB), micro-USB	Előlapi beépített	Töltő	sztereó hangszóró, mikrofon	Ezüst	
Lenovo IdeaPad YOGA 11(59-361324) Tablet	118900 Ft	11,6" képátló, 1366x768, 16:9	NVIDIA Tegra T30 1.50 GHz 1MB Cache	2GB RAM	32 GB háttértár		Intel HD Graphics 4000	1.25 kg	3 év (1 év az akkura és töltőre)	4 cella, 42WH, 13 óra		Windows 8 RT Magyar, Angol	802.11a/b/g/n, Bluetooth 4.0	HDMI, 2 in 1 (SD/MMC), 2 db USB 2.0	HD 720p Webkamera	Töltő	sztereó hangszóró, mikrofon	Sárga	
Dell Inspiron 3737 (INSP3737-1) Notebook	118900 Ft	17,3", 1600*900, 16:9	Intel Core i3, -4010U 1,7GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	INTEL GMA HD Graphics 4400	2,6 kg, 412 mm x 270 mm x elöl 28,34 mm / hátul 29,6 mm	3 év garancia	4 cella, 4000 mAh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad B590GB (59-352457) Notebook	120900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,2 kg	2 év garancia	6 cella, 2200 mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Vostro 2521 (V2521-8) Notebook	122900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3227U 1.90 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD Radeon HD 7670 / 1GB	2,4 kg, 376 mm x 259 mm x 25,4mm	3 év garancia	6 cella, 5600mAh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Vostro 2521 (DV2521A-3227-4GH50D6BK-11) Notebook	122900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3227U 1.90 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	ATI Radeon HD 7670M 1GB DDR3	2,4 kg, 376 mm x 259 mm x 25,4mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
