TermékNév	Ár	TFT	CPU	RAM	HDD	HDD +	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Kamera	Egyéb	Audio	Szín
Dell Inspiron 3537 (DI3537A-4200-4GH50D6BK-11) Notebook	123900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD/ATI Radeon HD 8670M 1GB	2,4 kg, 259 mm x 259 mm x 24,9 mm / 31,3mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Vostro 2521 (V2521_157863) Notebook	124900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3227U 1.90 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD Radeon HD 7670 / 1GB	2,4 kg, 376 mm x 259 mm x 25,4mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Lenovo IdeaPad Z510(59-403839) Notebook	124900 Ft	15,6", 1366x768, 16:9	Intel DualCore, 3550M 2.3GHz 2MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	NVIDIA GeForce GT 740M / 2GB	2,2 kg, 375*263*25 mm	2 év garancia	4 cella, 4800 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, Intel Dual Brand Wireless-N 7260 2x2 bgn	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad G500 (59-390064) Notebook	125900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		1 TB HDD + 8GB SSD, SATA-2	AMD/ATI Radeon HD 8570M 2GB	2,6 kg, 377 mm x 250 mm x 34 mm	2 év garancia	6 cella, 5 óra átlagos üzemidő, 48Wh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Lenovo ThinkPad EDGE E535(NZRELHV) Notebook	126900 Ft	15,6", 1366x768, 16:9	AMD , A8-4500M / 1.9 GHz / 4MB Cache	4 GB, DDR3 1333MHz		500 GB, SATA-2	AMD Radeon HD 7670 / 1GB	2,5 kg, 377 x 245mm x 29.5-35.3mm	1 év garancia	6 cella, 6 óra átlagos üzemidő, 48Wh	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, 802.11 b/g WLAN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, Ujjlenyomat olvasó, express card 34 mm, HDMI out	HD-minőségű webkamera (1280x800)				
Samsung NP535U3C-K01HU Notebook	126900 Ft	13,3", 1366x768, 16:9	AMD , A4-4355M 1.9GHz , 1MB Cache , Dual-Core	4 GB, DDR3 1333MHz		500 GB, SATA-2	AMD Radeon HD 7400G	1,5 kg, 315.1 x 218.9 x 14.9 ~ 17.6mm	2 év garancia	4 cella, 45Wh		Windows 8 64 bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Dell Vostro 2521 (V2521-9) Notebook	127900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,4 kg, 376 mm x 259 mm x 25,4mm	3 év garancia	4 cella, 4000 mAh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 3537 (INSP3537-2) Notebook	127900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD/ATI Radeon HD 8670M 1GB	2,4 kg, 259 mm x 259 mm x 24,9 mm / 31,3mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Lenovo ThinkPad EDGE E530c(NZY6ZHV) Notebook	128900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,5 kg, 377 x 245mm x 29.5-35.3mm	2 év garancia	6 cella, 5,5 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, Intel WiFi Link 2x2 BGN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Samsung ATIV Tab 3 (XE300TZC-K02HU) Tablet	128900 Ft	10,1 képátló, 1366x768, 16:9	Intel Atom Z2760 1,8 Ghz /1MB Cache	2GB RAM	64GB		Intel GMA HD	550g	2 év (1 év az akkura és töltőre)	2 cellás, 2560mAh, 8 óra		Windows 8 64bit	802.11a/b/g/n, Bluetooth 4.0	Micro-HDMI kimenet, sztereo jack, Micro SD (max. 64 GB), USB 2.0	720p HD elöl, 2.0MP hátul	Töltő, USB adatkábel, Érintő toll	sztereó hangszóró, mikrofon	Fehér	
Dell Inspiron 3521 (INSP3521-28) Notebook	128900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3317U 1,7GHz /3M Cache/ up to 2.60 GHz	4 GB, DDR3 1600MHz		1 TB, SATA-2	AMD Radeon HD8730M 2GB DDR3	2,3Kg, 25.4mm / 376mm / 259mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11 n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Lenovo Ideapad G710 (59-390397) Notebook	128900 Ft	17,3", 1600*900, 16:9	Intel Core i3, -4000M 2,4GHz / 3MB Cache	8 GB, DDR3 1600MHz		1 TB HDD + 8GB SSD, SATA-2	Intel GMA HD Graphics 4600	2,9 kg, 418 mm x 278 mm x 36,8 mm	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4800 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Toshiba Satellite C55-A-1P2 Notebook	129900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i5, -4200M / 2,50GHz max. 3,10GHz / 3MB cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	Intel GMA HD Graphics 4600	2,3Kg, 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm	2 év garancia	6 cella, 4,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad G500 (59-390489) Notebook	130900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD/ATI Radeon HD 8570M 2GB	2,6 kg, 377 mm x 250 mm x 34 mm	2 év garancia	6 cella, 5 óra átlagos üzemidő, 48Wh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Inspiron 5537 (5537_157820) Notebook	130900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -4010U 1,7GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD/ATI Radeon HD 8670M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Toshiba Satellite C55-A-10F Notebook	131900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		750GB, SATA-2	Intel GMA HD Graphics 4000	2,3Kg, 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 3537 (DI3537A2-4200-4GH75D6BK-11) Notebook	131900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	4 GB, DDR3 1600MHz		750GB, SATA-2	AMD/ATI Radeon HD 8670M 2GB	2,4 kg, 259 mm x 259 mm x 24,9 mm / 31,3mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5537 (5537_157819) Notebook	132900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -4010U 1,7GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD/ATI Radeon HD 8670M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 5537 (5537_157847) Notebook	132900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -4010U 1,7GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD/ATI Radeon HD 8670M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Toshiba Satellite C55-A-1NU Notebook	132900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i5, -4200M / 2,50GHz max. 3,10GHz / 3MB cache	4 GB, DDR3 1600MHz		750GB, SATA-2	Nvidia GeForce 710M 2GB gDDR3	2,3Kg, 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm	2 év garancia	6 cella, 4,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 5537 (5537_157857) Notebook	132900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -4010U 1,7GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD/ATI Radeon HD 8670M 2GB	2,3Kg, 376 mm x 259 mm x elöl 24,9 mm/ hátul 31,3 mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Toshiba Satellite C55-A-1F5 Notebook	133900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i3, -3110M / 2.4 GHz / 3MB Cache	4 GB, DDR3 1600MHz		750GB, SATA-2	Nvidia Geforce 710M 1GB DDR3	2,3Kg, 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm	2 év garancia	6 cella, 4 óra átlagos üzemidő	DVD +/- RW, Dual Layer	Windows 8.1 64bit	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Samsung Ativ Book 4 NP450R5E-X03HU Notebook	134900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3120M /2.50 GHz/3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Nvidia GeForce 710M 2GB gDDR3	2 kg, 376.0 x 248.0 x 22.9mm	2 év garancia	3 cella, 4300 mAh	DVD +/- RW, Super Multi	Windows 8 64 bit	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Vostro 2521 (V2521-6) Notebook	134900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	4 GB, DDR3 1600MHz		750GB, SATA-2	AMD Radeon HD 7670 / 1GB	2,4 kg, 376 mm x 259 mm x 25,4mm	3 év garancia	6 cella, 65 Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Vostro 2521 (V2521-7) Notebook	134900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3227U 1.90 GHz / 3MB Cache	4 GB, DDR3 1600MHz		750GB, SATA-2	Intel Graphics 3000 HD	2,4 kg, 376 mm x 259 mm x 25,4mm	3 év garancia	6 cella, 56WHr	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 3521 (3521_159203) Notebook	134900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	6 GB, DDR3 1600MHz		1 TB, SATA-2	AMD Radeon HD8730M 2GB DDR3	2,3Kg, 25.4mm / 376mm / 259mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11 n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 3537 (INSP3537-4) Notebook	134900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	4 GB, DDR3 1600MHz		750GB, SATA-2	AMD/ATI Radeon HD 8670M 2GB	2,4 kg, 259 mm x 259 mm x 24,9 mm / 31,3mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Samsung Ativ Book 4 NP450R5G-X01HU Notebook	135900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3120M /2.50 GHz/3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Nvidia GeForce 710M 2GB gDDR3	2 kg, 376.0 x 248.0 x 22.9mm	2 év garancia	3 cella, 4300 mAh		Windows 8	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Toshiba Satellite C55-A-132 Notebook	136900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Core i5, -3230M 2,60GHz max. 3,20GHz / 3MB cache	4 GB, DDR3 1600MHz		750GB, SATA-2	Nvidia Geforce 710M 1GB DDR3	2,3Kg, 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 3537 (3537_157848) Notebook	136900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -4200U 1,60GHz - 2,60GHz / 3MB cache	4 GB, DDR3 1600MHz		750GB, SATA-2	AMD/ATI Radeon HD 8670M 2GB	2,4 kg, 259 mm x 259 mm x 24,9 mm / 31,3mm	3 év garancia	6 cella, 65Wh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Samsung Ativ Book 2 NP270E5E-X05HU Notebook	137900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3120M /2.50 GHz/3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Nvidia Geforce 710M 1GB DDR3	2,2 kg, 376.0 x 248.0 x 25.2 ~ 31.8mm	2 év garancia	6 cella, 4800 mAh	DVD +/- RW, Super Multi	Windows 8 64 bit	10/100, 802.11.b/g/n WLAN	3USB 2.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Vostro 2521 (DV2521A-3337-4GH75D6BK-11) Notebook	137900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	4 GB, DDR3 1600MHz		750GB, SATA-2	AMD Radeon HD 7670 / 1GB	2,4 kg, 376 mm x 259 mm x 25,4mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Vostro 5470 (DV5470I-4010-4GH50D3RD-11) Notebook	138900 Ft	14,1'', 1366x768, 16:9	Intel Core i3, -4010U 1,7GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	INTEL GMA HD Graphics 4400	1,6 kg, 19,35 mm x 233,5 mm x 337,6 mm	3 év garancia	3 cella, 48,6 ~ 51,2 Wh		Linux	10/100/1000, 802.11 n WLAN	3 db USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera				
Dell Vostro 5470 (V5470-2) Notebook	139900 Ft	14,1'', 1366x768, 16:9	Intel Core i3, -4010U 1,7GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	INTEL GMA HD Graphics 4400	1,6 kg, 19,35 mm x 233,5 mm x 337,6 mm	3 év garancia	3 cella, 48,6 ~ 51,2 Wh		Linux	10/100, Intel Dual Brand Wireless-N 7260 2x2 bgn	3 db USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera				
Fujitsu Lifebook A532-M3 (VFY:A5320M55A5HU) Notebook	140900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3210M / 2.5 GHz / 3M Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,4 kg, 378 x 252 x 34.2 mm	2 év garancia	6 cella, 6 óra átlagos üzemidő, 4400 mAh	DVD +/- RW, Super Multi		10/100/1000, 802.11.b/g/n WLAN	3 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, express card 34 mm, HDMI out	HD Webkamera				
Dell Vostro 2521 (V2521_157824) Notebook	140900 Ft	15,6", 1366x768, 16:9	Intel Core i5, -3337U 1.80 / 2.70 Turbo GHz / 3MB Cache	4 GB, DDR3 1600MHz		750GB, SATA-2	AMD Radeon HD 7670 / 1GB	2,4 kg, 376 mm x 259 mm x 25,4mm	3 év garancia	6 cella, 48Wh	DVD +/- RW, Dual Layer	Linux	10/100/1000, 802.11.b/g/n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 3 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD				
Dell Vostro 5470 (DV5470I-4010-4GH50D3GS-11) Notebook	140900 Ft	14,1'', 1366x768, 16:9	Intel Core i3, -4010U 1,7GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	INTEL GMA HD Graphics 4400	1,6 kg, 19,35 mm x 233,5 mm x 337,6 mm	3 év garancia	3 cella, 48,6 ~ 51,2 Wh		Linux	10/100, Intel Dual Brand Wireless-N 7260 2x2 bgn	3 db USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera				
Lenovo IdeaPad S500(59-391104) Notebook	140900 Ft	15,6", 1366x768, 16:9	Intel Core i3, -3217U / 1.8GHz / 3MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD Graphics 4000	2,3Kg	2 év garancia	4 cella, 5 óra átlagos üzemidő, 3200 mAh	DVD +/- RW, Super Multi	Windows 8	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, HDMI out	720p HD webkamera	Érintőképernyő			
