TermékNév	Ár	TFT Felb.	TFT Méret	TFT Típus	TFT Arány	CPU Gyártó	CPU Család	CPU Típus	RAM Méret	RAM	RAM Slot	HDD	HDD Méret	HDD Seb.	GPU	Súly	Akku cella	OS	ODD	Chipset	RAM Modul	WLAN	Kamera Felb.	USB	VGA ki	HDMI	Audio	LAN	CR	Kensington	Technológia	Tárolt energia	Elektromos töltés	AC	Anyag	Szín	Széles	Magas	Mély	Család	Hangszóró	Mikrofon	Bill. num	Képátló	BT	USB 3	Micro HDMI ki	Egyéb	Billentyűzet világítás	Panel típus	Érintőkijelző	HDD 2	HDD 2 Méret	TPM	Egér	MSATA Foglalat	Egyéb szín	3D Technológia	Pixelhiba	DisplayPort ki	eSATA ki	ExpressCard	Ujjlenyomat olvasó	HDD leejtés védelem	Dokkolható	Tanúsítvány(ok)	Vezeték nélküli kapcsolat	Soros	TB	Mini DisplayPort ki	WiDi
HP ProBook 450 G1 E9Y33EA 15,6"/Intel Core i3-4000M 2,4 GHz/4GB/500GB/8750M 1GB/DVD író notebook	0 Ft	1366x768	15,6 "		Matt	Intel	Core i3	Intel Core i3-4000M (2,4GHz, 3MB)	4,0 GB	DDR3L-1600MHz	2 db	HDD	500 GB	5400 rpm	AMD Radeon HD 8750 1GB GDDR3	2,26 kg	6	FreeDOS	DVD Super Multi	AMD	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen				90 watt			375,00 mm	23,00 mm	256,0 mm		Sztereó	Igen	Igen		4.0	2 db													HP pixel policy alapján							ENERGY STAR						
HP ProBook 450 G1 E9Y39EA 15,6"/Intel Core i5-4200M 2,5 GHz/4GB/750GB/8750M 2GB/DVD író notebook	0 Ft	1366x768	15,6 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	4,0 GB	DDR3L-1600MHz	2 db	HDD	750 GB	5400 rpm	AMD Radeon HD 8750M 2GB GDDR3	2,26 kg	6	FreeDOS	DVD Super Multi	AMD	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Lítium-ion			90 watt			375,00 mm	23,00 mm	256,0 mm		Sztereó	Igen	Igen		4.0	2 db													HP pixel policy alapján							ENERGY STAR						
HP ProBook 450 G1 E9Y42EA 15,6"/Intel Core i5-4200M 2,5 GHz/8GB/750GB/8750M 2GB/DVD író/Windows 8 notebook	0 Ft	1366x768	15,6 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	8,0 GB	DDR3L-1600MHz	2 db	HDD	750 GB	5400 rpm	AMD Radeon HD 8750M 2GB GDDR3	2,26 kg	6	Windows 8 64 bit	DVD Super Multi	AMD	2 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Lítium-ion			90 watt			375,00 mm	23,00 mm	256,0 mm		Sztereó	Igen	Igen		4.0	2 db													HP pixel policy alapján							ENERGY STAR						
HP ProBook 450 G1 E9Y54EA 15,6"/Intel Core i5-4200M 2,5 GHz/4GB/500GB/DVD író notebook	0 Ft	1366x768	15,6 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	4,0 GB	DDR3L-1600MHz	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics 4600	2,26 kg	6	FreeDOS	DVD Super Multi	Intel	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Lítium-ion			65 watt			375,00 mm	23,00 mm	256,0 mm		Sztereó	Igen	Igen		4.0	2 db													HP pixel policy alapján													
HP ProBook 4545s H5K12EA 15,6"/AMD A4-4300M 2,5 GHz/4GB/500GB/DVD író/Win8 notebook	0 Ft	1366x768	15,6 "		Matt	AMD	A4	AMD Dual-Core A4-4300M APU (2,5 GHz, 1 MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	500 GB	5400 rpm	AMD Radeon HD 7420G	2,33 kg	6	Windows 8 64 bit	DVD Super Multi	AMD	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Lítium-ion			65 watt	Fém		375,00 mm	35,00 mm	256,0 mm	ProBook 4540	SRS Premium Sound	Igen	Igen		Van	2 db													HP pixel policy alapján													
HP ProBook 470 G1 E9Y79EA 17,3"/Intel Core i5-4200M 2,5 GHz/4GB/1TB/8750 2GB/DVD író/Windows 8 táska notebook	0 Ft	1600x900	17,3 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	4,0 GB	DDR3L-1600MHz	2 db	HDD	1000 GB	5400 rpm	AMD Radeon HD 8570M 2GB GDDR3	2,90 kg	6	Windows 8 64 bit	DVD Super Multi	AMD	1 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db		10/100/1000 Mb/s	Igen	Igen	Lítium-ion			90 watt			413,60 mm	25,30 mm	280,0 mm		Sztereó	Igen	Igen		4.0	2 db		Táska											HP pixel policy alapján													
HP ProBook 470 G1 E9Y82EA 17,3"/Intel Core i5-4200M 2,5 GHz/8GB/1TB/8750 2GB/DVD író/táska notebook	0 Ft	1600x900	17,3 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	8,0 GB	DDR3L-1600MHz	2 db	HDD	1000 GB	5400 rpm	AMD Radeon HD 8570M 2GB GDDR3	2,90 kg	6	FreeDOS	DVD Super Multi	AMD	2 x 4	802.11 b/g/n	0,90 MP	2 db	1 db	1 db		10/100/1000 Mb/s	Igen	Igen	Lítium-ion			90 watt			413,60 mm	25,30 mm	280,0 mm		Sztereó	Igen	Igen		4.0	2 db		Táska											HP pixel policy alapján													
HP ProBook 640 G1 H5G66EA 14"/Intel Core i5-4200M 2,5GHz/4GB/500GB/DVD író/Win7 és Win8 Pro notebook	0 Ft	1600x900	14,0 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	4,0 GB	DDR3L-1600MHz	2 db	HDD	500 GB	7200 rpm	Intel HD Graphics 4600	2,00 kg	6	Windows 7 Professional 64bit és Windows 8 Professional 64 bit	DVD Super Multi	Intel	1 x 4	802.11 a/b/g/n	0,90 MP		1 db		Igen	10/100/1000 Mb/s	Igen	Igen				65 watt		Fekete	340,00 mm	25,30 mm	237,0 mm		Sztereó	Igen			4.0	4 db								Igen					HP pixel policy alapján	1 db			Igen	Igen	Igen							
HP ProBook 640 G1 H5G68EA 14"/Intel Core i5-4200M 2,5GHz/4GB/128GB SSD/DVD író/Win7 és Win8 Pro notebook	0 Ft	1600x900	14,0 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	4,0 GB	DDR3L-1600MHz	2 db	SSD	128 GB		Intel HD Graphics 4600	2,00 kg	6	Windows 7 Professional 64bit és Windows 8 Professional 64 bit	DVD Super Multi	Intel	1 x 4	802.11 a/b/g/n	0,90 MP		1 db		Igen	10/100/1000 Mb/s	Igen	Igen				65 watt		Fekete	340,00 mm	25,30 mm	237,0 mm		Sztereó	Igen			4.0	4 db								Igen					HP pixel policy alapján	1 db			Igen	Igen	Igen							
HP ProBook 650 G1 H5G73EA 15,6"/Intel Core i5-4200M 2,5GHz/4GB/500GB/DVD író fekete notebook	0 Ft	1366x768	15,6 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	4,0 GB	DDR3L-1600MHz	2 db	HDD	500 GB	7200 rpm	Intel HD Graphics 4600	2,32 kg	6	FreeDOS	DVD Super Multi	Intel	1 x 4	802.11 a/b/g/n	0,90 MP		1 db		Igen	10/100/1000 Mb/s	Igen	Igen				65 watt		Fekete	378,00 mm	25,30 mm	257,0 mm		Sztereó	Igen	Igen		4.0	5 db								Igen					HP pixel policy alapján	1 db			Igen	Igen	Igen			1 db				
HP ProBook 650 G1 H5G74EA 15,6"/Intel Core i3-4000M 2,4GHz/4GB/500GB/DVD író/Win7 Pro és Win8 Pro fekete notebook	0 Ft	1366x768	15,6 "		Matt	Intel	Core i3	Intel Core i3-4000M (2,4GHz, 3MB)	4,0 GB	DDR3L-1600MHz	2 db	HDD	500 GB	7200 rpm	Intel HD Graphics 4600	2,32 kg	6	Windows 7 Professional 64bit és Windows 8 Professional 64 bit	DVD Super Multi	Intel	1 x 4	802.11 a/b/g/n	0,90 MP		1 db		Igen	10/100/1000 Mb/s	Igen	Igen				65 watt		Fekete	378,00 mm	25,30 mm	257,0 mm		Sztereó	Igen	Igen		4.0	5 db								Igen					HP pixel policy alapján	1 db			Igen	Igen	Igen			1 db				
HP ProBook 650 G1 H5G75EA 15,6"/Intel Core i5-4200M 2,5GHz/4GB/500GB/DVD író/Win7 Pro és Win8 Pro fekete notebook	0 Ft	1366x768	15,6 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	4,0 GB	DDR3L-1600MHz	2 db	HDD	500 GB	7200 rpm	Intel HD Graphics 4600	2,32 kg	6	Windows 7 Professional 64bit és Windows 8 Professional 64 bit	DVD Super Multi	Intel	1 x 4	802.11 a/b/g/n	0,90 MP		1 db		Igen	10/100/1000 Mb/s	Igen	Igen				65 watt		Fekete	378,00 mm	25,30 mm	257,0 mm		Sztereó	Igen	Igen		4.0	5 db								Igen					HP pixel policy alapján	1 db			Igen	Igen	Igen			1 db				
HP ProBook 650 G1 H5G76EA 15,6" FHD/Intel Core i5-4200M 2,5GHz/4GB/500GB/DVD író/Win7 Pro és Win8 Pro fekete notebook	0 Ft	1920x1080	15,6 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	4,0 GB	DDR3L-1600MHz	2 db	HDD	500 GB	7200 rpm	Intel HD Graphics 4600	2,32 kg	6	Windows 7 Professional 64bit és Windows 8 Professional 64 bit	DVD Super Multi	Intel	1 x 4	802.11 a/b/g/n	0,90 MP		1 db		Igen	10/100/1000 Mb/s	Igen	Igen				65 watt		Fekete	378,00 mm	25,30 mm	257,0 mm		Sztereó	Igen	Igen		4.0	5 db								Igen					HP pixel policy alapján	1 db			Igen	Igen	Igen			1 db				
HP ProBook 650 G1 H5G77EA 15,6"/Intel Core i5-4200M 2,5GHz/4GB/500GB/DVD író/3G/Win7 Pro és Win8 Pro fekete notebook	0 Ft	1366x768	15,6 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	4,0 GB	DDR3L-1600MHz	2 db	HDD	500 GB	7200 rpm	Intel HD Graphics 4600	2,32 kg	6	Windows 7 Professional 64bit és Windows 8 Professional 64 bit	DVD Super Multi	Intel	1 x 4	802.11 a/b/g/n	0,90 MP		1 db		Igen	10/100/1000 Mb/s	Igen	Igen				65 watt		Fekete	378,00 mm	25,30 mm	257,0 mm		Sztereó	Igen	Igen		4.0	5 db								Igen					HP pixel policy alapján	1 db			Igen	Igen	Igen		3G (UMTS)	1 db				
HP ProBook 650 G1 H5G79EA 15,6" FHD/Intel Core i5-4200M 2,5GHz/4GB/500GB/8750M 1GB/DVD író/Win7 és Win8 fekete notebook	0 Ft	1920x1080	15,6 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	4,0 GB	DDR3L-1600MHz	2 db	HDD	500 GB	7200 rpm	AMD Radeon HD 8570M 1GB GDDR3	2,32 kg	6	Windows 7 Professional 64bit és Windows 8 Professional 64 bit	DVD Super Multi	AMD	1 x 4	802.11 a/b/g/n	0,90 MP		1 db		Igen	10/100/1000 Mb/s	Igen	Igen				90 watt		Fekete	378,00 mm	25,30 mm	257,0 mm		Sztereó	Igen	Igen		4.0	5 db								Igen					HP pixel policy alapján	1 db			Igen	Igen	Igen			1 db				
HP ProBook 650 G1 H5G80EA 15,6" FHD/Intel Core i5-4200M 2,5GHz/4GB/128GB SSD/DVD író/Win7 Pro ésWin8 Pro fekete notebook	0 Ft	1920x1080	15,6 "		Matt	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	4,0 GB	DDR3L-1600MHz	2 db	SSD	128 GB		Intel HD Graphics 4600	2,32 kg	6	Windows 7 Professional 64bit és Windows 8 Professional 64 bit	DVD Super Multi	Intel	1 x 4	802.11 a/b/g/n	0,90 MP		1 db		Igen	10/100/1000 Mb/s	Igen	Igen				65 watt		Fekete	378,00 mm	25,30 mm	257,0 mm		Sztereó	Igen	Igen		4.0	5 db								Igen					HP pixel policy alapján	1 db			Igen	Igen	Igen			1 db				
HP Spectre XT Pro H6D55EA 13,3"/Intel Core i7 3537U 2,0GHz/4GB/256GB SSD/Win8 Pro notebook	0 Ft	1366x768	13,3 "		Fényes	Intel	Core i7	Intel Core i7-3537U (2,0 GHz, 4MB)	4,0 GB	DDR3-1600MHz	1 db	mSATA SSD	256 GB		Intel® HD Graphics 4000	1,42 kg	4	Windows 8 Professional 64 bit	nincs	Intel	1 x 4	802.11 a/b/g/n	0,90 MP	1 db		1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Lítium-ion			65 watt	Fém		316,50 mm	14,70 mm	224,5 mm	Spectre	Beats Audio	Igen			4.0	1 db			Igen					Igen					HP pixel policy alapján													
HP ZBook F0U60EA 15,6"/Intel Core i7 4700QM 2,4GHz/4GB/500GB/DVD író/NVIDIA Quadro K110M 2GB/Win8Pro notebook	0 Ft	1920x1080	15,6 "		Matt	Intel	Core i7	Intel Core i7-4700MQ (3,4 GHz, 6 MB)	4,0 GB	DDR3L-1600MHz	4 db	HDD	500 GB	7200 rpm	NVIDIA Quadro K1100M 2GB GDDR5	2,80 kg	8	Windows 7 Professional 64bit és Windows 8 Professional 64 bit	DVD Super Multi	NVIDIA	1 x 4	802.11 a/b/g/n	0,90 MP	1 db	1 db		Igen	10/100/1000 Mb/s	Igen	Igen	Lítium-ion			200 watt	Fém	Fekete	381,60 mm	30,50 mm	257,0 mm		Sztereó	Igen	Igen		4.0	3 db								Igen		Igen			HP pixel policy alapján	1 db		ExpressCard/54	Igen	Igen	Igen	ENERGY STAR			1 db			
LENOVO G500 59-390041 15,6"/Intel Core i3-3110M 2,4GHz/4GB/500GB//DVD író/fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Core i3	Intel Core i3-3110M (2,4 GHz, 3 MB)	4,0 GB	DDR3-1600MHz		HDD	500 GB	5400 rpm	Intel HD Graphics	2,28 kg	6	FreeDOS	DVD író	Intel		802.11 b/g/n	0,90 MP	1 db		1 db	Igen	10/100 Mb/s	Igen			48 wattóra		65 watt	Fém + műanyag	Fekete	377,00 mm	34,00 mm	250,0 mm	G500	sztereó	Igen	Igen		4.0	2 db																										
LENOVO G500 59-390042 15,6"/Intel Dual-Core Pentium 2020M 2,4GHz/4GB/500GB/DVD író/fekete/Win8 notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Pentium	Intel Pentium Dual-Core 2020M (2,4 GHz, 2 MB)	4,0 GB	DDR3-1600MHz		HDD	500 GB	5400 rpm	Intel HD Graphics	2,28 kg	6	Windows 8	DVD író	Intel		802.11 b/g/n	0,90 MP	1 db		1 db	Igen	10/100 Mb/s	Igen			48 wattóra		65 watt	Fém + műanyag	Fekete	377,00 mm	34,00 mm	250,0 mm	G500	sztereó	Igen	Igen		4.0	2 db																										
LENOVO G500 59-390048 15,6"/Intel Dual-Core Pentium 2020M 2,4GHz/4GB/500GB/DVD író/fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Pentium	Intel Pentium Dual-Core 2020M (2,4 GHz, 2 MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	500 GB	5400 rpm	Intel® HD Graphics 4000	2,30 kg	6	FreeDOS	DVD Super Multi	Intel	1 x 4	802.11 b/g/n	1,00 MP	1 db	1 db	1 db	Igen	10/100 Mb/s	Igen		Lítium-ion	48 wattóra		65 watt	Fém + műanyag	Fekete	377,00 mm	34,00 mm	250,0 mm	G500	sztereó	Igen	Igen		4.0	2 db																										
LENOVO G500 59-390067 15,6"/Intel Dual-Core Pentium 2020M 2,4GHz/4GB/1000GB/DVD író/fekete notebook	0 Ft				Fényes	Intel	Pentium	Intel Pentium Dual-Core 2020M (2,4 GHz, 2 MB)	4,0 GB	DDR3-1600MHz		HDD	1000 GB	5400 rpm	Intel HD Graphics	2,28 kg	6	FreeDOS	DVD író	Intel		802.11 b/g/n	0,90 MP	1 db		1 db	Igen	10/100 Mb/s	Igen			48 wattóra		65 watt	Fém + műanyag	Fekete	377,00 mm	34,00 mm	250,0 mm	G500	sztereó	Igen	Igen		4.0	2 db																										
LENOVO G500 59-390087 15,6"/Intel Dual-Core Pentium 2020M 2,4GHz/4GB/1000GB/8570 1GB/DVD író/fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Pentium	Intel Pentium Dual-Core 2020M (2,4 GHz, 2 MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	AMD Radeon HD 8570M 1GB GDDR3	2,30 kg	6	FreeDOS	DVD Super Multi	AMD	1 x 4	802.11 b/g/n	1,00 MP	1 db	1 db	1 db	Igen	10/100 Mb/s	Igen		Lítium-ion	48 wattóra		65 watt	Fém + műanyag	Fekete	377,00 mm	34,00 mm	250,0 mm	G500	sztereó	Igen	Igen		4.0	2 db																										
LENOVO G500 59-390091 15,6"/Intel Dual-Core Pentium 2020M 2,4GHz/4GB/1000GB/8570 2GB/DVD író/fekete notebook	0 Ft		15,6 "		Fényes	Intel	Pentium	Intel Pentium Dual-Core 2020M (2,4 GHz, 2 MB)	4,0 GB	DDR3-1600MHz		HDD	1000 GB	5400 rpm	Intel HD Graphics	2,28 kg	6	FreeDOS	DVD író	Intel		802.11 b/g/n	0,90 MP	1 db		1 db	Igen	10/100 Mb/s	Igen			48 wattóra		65 watt	Fém + műanyag	Fekete	377,00 mm	34,00 mm	250,0 mm	G500	sztereó	Igen	Igen		4.0	2 db																										
LENOVO G500 59-390095 15,6"/Intel Core i3-3110M 2,4GHz/4GB/1000GB/8570 1GB/DVD író/fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Core i3	Intel Core i3-3110M (2,4 GHz, 3 MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	AMD Radeon HD 8570M 1GB GDDR3	2,30 kg	6	FreeDOS	DVD Super Multi	AMD	1 x 4	802.11 b/g/n	1,00 MP	1 db	1 db	1 db	Igen	10/100 Mb/s	Igen		Lítium-ion	48 wattóra		65 watt	Fém + műanyag	Fekete	377,00 mm	34,00 mm	250,0 mm	G500	sztereó	Igen	Igen		4.0	2 db																										
LENOVO G500 59-390483 15,6"/Intel Celeron 1005M 1,9GHz/4GB/1TB//DVD író/fekete notebook	0 Ft		15,6 "		Fényes	Intel	Celeron	Intel Celeron 1005M (1,9 GHz, 2 MB)	4,0 GB	DDR3-1600MHz		HDD	1000 GB	5400 rpm	Intel HD Graphics	2,28 kg	6	FreeDOS	DVD író	Intel		802.11 b/g/n	0,90 MP	1 db		1 db	Igen	10/100 Mb/s	Igen			48 wattóra		65 watt	Műanyag	Fekete	377,00 mm	34,00 mm	250,0 mm	G500	sztereó	Igen	Igen		4.0	2 db																										
LENOVO G500 59-390509 15,6"/Intel Celeron 1005M 1,9GHz/4GB/500GB/DVD író/ fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Celeron Dual-Core	Intel Celeron 1005M (1,9 GHz, 2 MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	500 GB	5400 rpm	Intel HD Graphics	2,30 kg	6	FreeDOS	DVD Super Multi	Intel	1 x 4	802.11 b/g/n	1,00 MP	1 db	1 db	1 db	Igen	10/100 Mb/s	Igen		Lítium-ion	48 wattóra		65 watt	Műanyag	Fekete	377,00 mm	34,00 mm	250,0 mm	G500	sztereó	Igen	Igen		4.0	2 db																										
LENOVO G500 59-402605 15,6"/Intel Core i3-3110M 2,4GHz/4GB/1000GB/8570 2GB/DVD író/fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Core i3	Intel Core i3-3110M (2,4 GHz, 3 MB)	4,0 GB	DDR3-1600MHz	2 db	HDD	1000 GB	5400 rpm	AMD Radeon HD 8570M 2GB GDDR3	2,30 kg	6	FreeDOS	DVD Super Multi	AMD	1 x 4	802.11 b/g/n	1,00 MP	1 db	1 db	1 db	Igen	10/100 Mb/s	Igen		Lítium-ion	48 wattóra		65 watt	Fém + műanyag	Fekete	377,00 mm	34,00 mm	250,0 mm	G500	sztereó	Igen	Igen		4.0	2 db																										
LENOVO G500 59-402606 15,6"/Intel Dual-Core Pentium 2020M 2,4GHz/4GB/500GB/8570 2GB/DVD író/fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Pentium	Intel Pentium Dual-Core 2020M (2,4 GHz, 2 MB)	4,0 GB	DDR3-1600MHz		HDD	500 GB	5400 rpm	AMD Radeon HD 8570M 2GB GDDR3	2,28 kg	6	FreeDOS	DVD író	AMD		802.11 b/g/n	0,90 MP	1 db		1 db	Igen	10/100 Mb/s	Igen			48 wattóra		65 watt	Fém + műanyag	Fekete	377,00 mm	34,00 mm	250,0 mm	G500	sztereó	Igen	Igen		4.0	2 db																										
LENOVO G505 59-402610 15,6"/AMD Quad-Core A4-5000/4GB/1000GB/DVD író/ fekete notebook	0 Ft	1366x768	15,6 "		Fényes	AMD	A4	AMD Quad-Core A4-5000M (1,5GHz, 2MB)	4,0 GB	DDR3-1600MHz		HDD	1000 GB	5400 rpm	Integrált	2,49 kg	6	FreeDOS	DVD író			802.11 b/g/n	0,90 MP				Igen		Igen			48 wattóra		45 watt	Műanyag	Fekete				G505			Igen		4.0																											
LENOVO G505 59-402612 15,6"/AMD Dual-Core E1-2100 /4GB/500GB/DVD író/ fekete notebook	0 Ft	1366x768	15,6 "		Fényes	AMD	E1-2100	AMD Dual-Core E1-2100 (1,0 GHz, 1MB)	4,0 GB	DDR3-1600MHz		HDD	500 GB	5400 rpm	Intel HD Graphics	2,49 kg	6	FreeDOS	DVD író	AMD		802.11 b/g/n	0,90 MP	1 db	1 db	1 db	Igen	10/100 Mb/s	Igen			48 wattóra		45 watt	Műanyag	Fekete				G505	sztereó	Igen	Igen		4.0	2 db																										
LENOVO G505s 59-404323 15,6"/AMD Quad-Core A8-4500M/4GB/500GB/8570 2GB/DVD író/fekete notebook	0 Ft	1366x768	15,6 "		Fényes	AMD	A8	AMD Quad-Core A8-4500M (2,1GHz, 4MB)	4,0 GB	DDR3-1600MHz		HDD	500 GB	5400 rpm	AMD Radeon HD 8570M 2GB GDDR3	2,40 kg	4	FreeDOS	DVD író	AMD		802.11 b/g/n	0,90 MP	1 db	1 db	1 db	Igen		Igen			41 wattóra		65 watt	Műanyag	Fekete				G505	Sztereó	Igen	Igen		4.0	2 db																										
LENOVO G510 59-402665 15,6"/Intel Core i5-4200M 3,1GHz/4GB/1000GB/8750 2GB/DVD író/fekete notebook	0 Ft	1366x768	15,6 "		Fényes	Intel	Core i5	Intel Core i5-4200M (2,5 GHz, 3MB)	4,0 GB	DDR3L-1600MHz	2 db	HDD	1000 GB	5400 rpm	AMD Radeon HD 8750M 2GB GDDR3	2,60 kg	6	FreeDOS	DVD író	AMD	1 x 4	802.11 b/g/n	0,90 MP	1 db		1 db	Igen	10/100 Mb/s	Igen			48 wattóra		90 watt	Fém + műanyag	Fekete				G510	sztereó	Igen	Igen		4.0	2 db																										
